E09000002,Barking and Dagenham,776
E09000003,Barnet,1991
E09000004,Bexley,1209
E09000005,Brent,1007
E09000006,Bromley,1447
E09000007,Camden,477
E09000001,City of London,167
E09000008,Croydon,1390
E09000009,Ealing,1375
E09000010,Enfield,1958
E09000011,Greenwich,1211
E09000012,Hackney,527
E09000013,Hammersmith and Fulham,564
E09000014,Haringey,619
E09000015,Harrow,856
E09000016,Havering,1778
E09000017,Hillingdon,2455
E09000018,Hounslow,1660
E09000019,Islington,435
E09000020,Kensington and Chelsea,541
E09000021,Kingston upon Thames,1014
E09000022,Lambeth,845
E09000023,Lewisham,924
E09000024,Merton,658
E09000025,Newham,1046
E09000026,Redbridge,1339
E09000027,Richmond upon Thames,869
E09000028,Southwark,808
E09000029,Sutton,740
E09000030,Tower Hamlets,975
E09000031,Waltham Forest,905
E09000032,Wandsworth,868
E09000033,Westminster,898
